Added,Playtime,Platform,Genres,Stores,Tag,Esrb_rating
3701,5,8,Adventure,6,Steam Achievements,Teen
3699,3,3,Action,3,Steam Achievements,Teen
3694,0,2,Adventure,1,Atmospheric,Teen
3679,0,2,Adventure,2,Atmospheric,Mature
3679,7,6,Shooter,6,Steam Achievements,Mature
3677,7,4,Action,6,Steam Achievements,Mature
3674,4,7,Adventure,5,Steam Achievements,Mature
3669,10,4,Action,4,Steam Achievements,Mature
3647,4,3,Shooter,4,Multiplayer,Mature
3628,30,4,RPG,5,RPG,Mature
3610,9,5,RPG,2,Steam Achievements,Mature
3604,2,3,Action,4,Multiplayer,Mature
3588,5,4,Action,3,Steam Achievements,Mature
3582,5,3,Action,3,Steam Achievements,Mature
3577,3,6,Indie,6,steam-trading-cards,Mature
3576,5,1,Strategy,1,Steam Achievements,Mature
3576,5,3,Action,4,Steam Achievements,Mature
3571,1,6,Educational,6,Steam Achievements,Mature
3570,9,2,Action,2,Steam Achievements,Mature
3562,1,3,Shooter,1,counter-strke,Mature
3551,22,4,RPG,4,Horror,Mature
3545,3,3,Shooter,2,Multiplayer,Mature
3545,3,8,Puzzle,8,Steam Achievements,Mature
3541,7,2,RPG,1,Steam Achievements,Mature
3533,5,3,Indie,2,Steam Achievements,Mature
3533,18,3,Indie,2,Steam Achievements,Mature
3525,8,3,Shooter,1,Dark,Mature
3517,1,5,Adventure,6,Atmospheric,Mature
3515,3,2,Massively Multiplayer,2,Multiplayer,Mature
3505,2,2,Shooter,2,Multiplayer,Mature
3492,2,1,Shooter,2,Multiplayer,Mature
3484,1,4,Simulation,3,Great Soundtrack,Mature
3467,6,4,Simulation,4,Atmospheric,Mature
3466,6,4,RPG,6,Atmospheric,Mature
3457,2,3,Action,4,Steam Achievements,Mature
3432,4,2,Action,2,Steam Achievements,Mature
3431,3,5,Platformer,3,Steam Achievements,Mature
3428,7,4,Action,5,Multiplayer,Mature
3423,1,3,Platformer,3,Full controller support,Mature
3416,2,1,Shooter,1,Steam Achievements,Mature
3415,4,8,Casual,5,Atmospheric,Mature
3409,10,7,Adventure,5,Steam Achievements,Mature
3406,6,1,Action,1,exclusive,Mature
3396,4,4,RPG,3,Steam Achievements,Teen
3395,3,3,Action,4,Multiplayer,Teen
3395,4,4,Action,2,Steam Achievements,Teen
3389,4,3,Indie,4,Steam Achievements,Teen
3383,5,4,Action,5,Steam Achievements,Teen
3368,1,5,Casual,5,Steam Achievements,Teen
3364,2,3,Shooter,3,Steam Achievements,Teen
3357,10,3,Adventure,4,Steam Achievements,Teen
3357,0,7,Action,5,Multiplayer,Teen
3355,8,4,RPG,5,Steam Achievements,Teen
3351,7,5,Platformer,3,Steam Achievements,Teen
3348,1,1,RPG,1,Gothic,Teen
3347,14,3,Action,4,Multiplayer,Teen
3346,2,3,Adventure,3,Atmospheric,Teen
3346,2,3,Action,2,steam-trading-cards,Teen
3340,4,3,Action,3,Steam Achievements,Teen
3322,6,1,Indie,1,Steam Achievements,Teen
3321,12,1,Adventure,1,no tag,Teen
3317,2,3,Adventure,4,Steam Achievements,Teen
3313,4,6,Shooter,5,Steam Achievements,Teen
3308,8,2,Adventure,2,Multiplayer,No age info
3302,7,3,Adventure,3,Steam Achievements,No age info
3294,5,2,Action,2,Multiplayer,No age info
3293,4,6,Indie,6,Steam Achievements,No age info
3286,3,4,Indie,5,Steam Achievements,No age info
3266,1,3,Shooter,4,Steam Achievements,No age info
3258,3,3,Action,1,Steam Achievements,No age info
3257,13,1,Adventure,0,Story,No age info
3254,1,4,Adventure,4,Steam Achievements,No age info
3247,4,3,RPG,2,Atmospheric,No age info
3242,1,1,Strategy,1,Sci-fi,No age info
3228,1,7,Arcade,7,Multiplayer,No age info
3227,2,5,Strategy,6,Steam Achievements,No age info
3224,6,4,Action,3,Steam Achievements,No age info
3221,2,4,Action,5,Steam Achievements,No age info
3220,2,3,RPG,4,Atmospheric,No age info
